,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
16,11-3051,11-3051,11-3051.00,11-3051.00,Industrial Production Managers,Industrial Production Managers,11-3051,11-3051.00,11-3051.00,Industrial Production Managers,Industrial Production Managers,11-3051,11-3051.00 AND 11-3051.01 AND 11-3051.02 AND 11-3051.03 AND 11-3051.04 AND 11-3051.05 AND 11-3051.06,11-3051.00 AND 11-3051.01 AND 11-3051.02 AND 11-3051.03 AND 11-3051.04 AND 11-3051.05 AND 11-3051.06,Industrial Production Managers AND Quality Control Systems Managers AND Geothermal Production Managers AND Biofuels Production Managers AND Biomass Production Managers AND Methane/Landfill Gas Collection System Operators AND Hydroelectric Production Managers,Industrial Production Managers AND Quality Control Systems Managers AND Geothermal Production Managers AND Biofuels Production Managers AND Biomass Power Plant Managers AND Methane/Landfill Gas Collection System Operators AND Hydroelectric Production Managers,11-3051,11-3051.00 AND 11-3051.01 AND 11-3051.02 AND 11-3051.03 AND 11-3051.04 AND 11-3051.05 AND 11-3051.06,11-3051.00 AND 11-3051.01 AND 11-3051.02 AND 11-3051.03 AND 11-3051.04 AND 11-3051.06,Industrial Production Managers AND Quality Control Systems Managers AND Geothermal Production Managers AND Biofuels Production Managers AND Biomass Power Plant Managers AND Methane/Landfill Gas Collection System Operators AND Hydroelectric Production Managers,Industrial Production Managers AND Quality Control Systems Managers AND Geothermal Production Managers AND Biofuels Production Managers AND Biomass Power Plant Managers AND Hydroelectric Production Managers
17,11-3061,11-3061,11-3061.00,11-3061.00,Purchasing Managers,Purchasing Managers,11-3061,11-3061.00,11-3061.00,Purchasing Managers,Purchasing Managers,11-3061,11-3061.00,11-3061.00,Purchasing Managers,Purchasing Managers,11-3061,11-3061.00,11-3061.00,Purchasing Managers,Purchasing Managers
18,11-3071,11-3071,11-3071.00 AND 11-3071.01 AND 11-3071.02,11-3071.00 AND 11-3071.01 AND 11-3071.02,"Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers","Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers",11-3071,11-3071.00 AND 11-3071.01 AND 11-3071.02,11-3071.00 AND 11-3071.01 AND 11-3071.02,"Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers","Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers",11-3071,11-3071.00 AND 11-3071.01 AND 11-3071.02,11-3071.00 AND 11-3071.01 AND 11-3071.02,"Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers","Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers",11-3071,11-3071.00 AND 11-3071.01 AND 11-3071.02 AND 11-3071.03,11-3071.00,"Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers AND Logistics Managers","Transportation, Storage, and Distribution Managers"
19,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-3071,11-9199.06,11-3071.03,Logistics Managers,Logistics Managers,11-3071,11-3071.00 AND 11-3071.01 AND 11-3071.02 AND 11-3071.03,11-3071.00,"Transportation, Storage, and Distribution Managers AND Transportation Managers AND Storage and Distribution Managers AND Logistics Managers","Transportation, Storage, and Distribution Managers"
20,11-9011,11-9011,11-9011.00 AND 11-9011.01 AND 11-9011.02 AND 11-9011.03,11-9011.00 AND 11-9011.01 AND 11-9011.02 AND 11-9011.03,"Farm, Ranch, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Agricultural Crop Farm Managers AND Fish Hatchery Managers","Farm, Ranch, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Crop and Livestock Managers AND Aquacultural Managers",11-9011,11-9011.00 AND 11-9011.01 AND 11-9011.02 AND 11-9011.03,11-9011.00 AND 11-9011.01 AND 11-9011.02 AND 11-9011.03,"Farm, Ranch, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Crop and Livestock Managers AND Aquacultural Managers","Farm, Ranch, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Crop and Livestock Managers AND Aquacultural Managers",11-9013,11-9011.00 AND 11-9011.01 AND 11-9011.02 AND 11-9011.03,11-9013.00 AND 11-9013.01 AND 11-9013.02 AND 11-9013.03,"Farm, Ranch, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Crop and Livestock Managers AND Aquacultural Managers","Farmers, Ranchers, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Farm and Ranch Managers AND Aquacultural Managers",11-9013,11-9013.00 AND 11-9013.01 AND 11-9013.02 AND 11-9013.03,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Farm and Ranch Managers AND Aquacultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
21,11-9012,11-9012,11-9012.00,11-9012.00,Farmers and Ranchers,Farmers and Ranchers,11-9012,11-9012.00,11-9012.00,Farmers and Ranchers,Farmers and Ranchers,11-9013,11-9012.00,11-9013.02,Farmers and Ranchers,Farm and Ranch Managers,11-9013,11-9013.00 AND 11-9013.01 AND 11-9013.02 AND 11-9013.03,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers AND Nursery and Greenhouse Managers AND Farm and Ranch Managers AND Aquacultural Managers","Farmers, Ranchers, and Other Agricultural Managers"
22,11-9021,11-9021,11-9021.00,11-9021.00,Construction Managers,Construction Managers,11-9021,11-9021.00,11-9021.00,Construction Managers,Construction Managers,11-9021,11-9021.00,11-9021.00,Construction Managers,Construction Managers,11-9021,11-9021.00,11-9021.00,Construction Managers,Construction Managers
23,11-9031,11-9031,11-9031.00,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Education Administrators, Preschool and Child Care Center/Program",11-9031,11-9031.00,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Education Administrators, Preschool and Child Care Center/Program",11-9031,11-9031.00,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Education Administrators, Preschool and Childcare Center/Program",11-9031,11-9031.00,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program","Education and Childcare Administrators, Preschool and Daycare"
24,11-9032,11-9032,11-9032.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",11-9032,11-9032.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",11-9032,11-9032.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",11-9032,11-9032.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Kindergarten through Secondary"
25,11-9033,11-9033,11-9033.00,11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",11-9033,11-9033.00,11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",11-9033,11-9033.00,11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",11-9033,11-9033.00,11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary"
26,11-9039,11-9039,11-9039.99,11-9039.99,"Education Administrators, All Other","Education Administrators, All Other",11-9039,11-9039.99,11-9039.00,"Education Administrators, All Other","Education Administrators, All Other",11-9039,11-9039.00 AND 11-9039.01 AND 11-9039.02,11-9039.00 AND 11-9039.01 AND 11-9039.02,"Education Administrators, All Other AND Distance Learning Coordinators AND Fitness and Wellness Coordinators","Education Administrators, All Other AND Distance Learning Coordinators AND Fitness and Wellness Coordinators",11-9039,11-9039.00 AND 11-9039.01,11-9039.00,"Education Administrators, All Other AND Distance Learning Coordinators","Education Administrators, All Other"
27,11-9039,11-9039,11-9039.99,11-9039.99,"Education Administrators, All Other","Education Administrators, All Other",11-9039,11-9039.99,11-9039.00,"Education Administrators, All Other","Education Administrators, All Other",11-9039,11-9039.00 AND 11-9039.01 AND 11-9039.02,11-9039.00 AND 11-9039.01 AND 11-9039.02,"Education Administrators, All Other AND Distance Learning Coordinators AND Fitness and Wellness Coordinators","Education Administrators, All Other AND Distance Learning Coordinators AND Fitness and Wellness Coordinators",11-9179,11-9039.02,11-9179.01,Fitness and Wellness Coordinators,Fitness and Wellness Coordinators
28,11-9041,11-9041,11-9041.00,11-9041.00,Engineering Managers,Engineering Managers,11-9041,11-9041.00,11-9041.00,Engineering Managers,Engineering Managers,11-9041,11-9041.00 AND 11-9041.01,11-9041.00 AND 11-9041.01,Engineering Managers AND Biofuels/Biodiesel Technology and Product Development Managers,Architectural and Engineering Managers AND Biofuels/Biodiesel Technology and Product Development Managers,11-9041,11-9041.00 AND 11-9041.01,11-9041.00 AND 11-9041.01,Architectural and Engineering Managers AND Biofuels/Biodiesel Technology and Product Development Managers,Architectural and Engineering Managers AND Biofuels/Biodiesel Technology and Product Development Managers
29,11-9051,11-9051,11-9051.00,11-9051.00,Food Service Managers,Food Service Managers,11-9051,11-9051.00,11-9051.00,Food Service Managers,Food Service Managers,11-9051,11-9051.00,11-9051.00,Food Service Managers,Food Service Managers,11-9051,11-9051.00,11-9051.00,Food Service Managers,Food Service Managers
30,11-9061,11-9061,11-9061.00,11-9061.00,Funeral Directors,Funeral Directors,11-9061,11-9061.00,11-9061.00,Funeral Directors,Funeral Directors,39-4031,11-9061.00,39-4031.00,Funeral Directors,"Morticians, Undertakers, and Funeral Directors",39-4031,39-4031.00,39-4031.00,"Morticians, Undertakers, and Funeral Directors","Morticians, Undertakers, and Funeral Arrangers"
31,11-9071,11-9071,11-9071.00,11-9071.00,Gaming Managers,Gaming Managers,11-9071,11-9071.00,11-9071.00,Gaming Managers,Gaming Managers,11-9071,11-9071.00,11-9071.00,Gaming Managers,Gaming Managers,11-9071,11-9071.00,11-9071.00,Gaming Managers,Gambling Managers
32,11-9081,11-9081,11-9081.00,11-9081.00,Lodging Managers,Lodging Managers,11-9081,11-9081.00,11-9081.00,Lodging Managers,Lodging Managers,11-9081,11-9081.00,11-9081.00,Lodging Managers,Lodging Managers,11-9081,11-9081.00,11-9081.00,Lodging Managers,Lodging Managers
33,11-9111,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers
34,11-9111,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111,11-9111.00,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,29-1141,11-9111.01,29-1141.04,Clinical Nurse Specialists,Clinical Nurse Specialists,29-1141,29-1141.00 AND 29-1141.01 AND 29-1141.02 AND 29-1141.03 AND 29-1141.04,29-1141.00 AND 29-1141.01 AND 29-1141.02 AND 29-1141.03 AND 29-1141.04,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses AND Clinical Nurse Specialists,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses AND Clinical Nurse Specialists
35,29-1111,29-1111,29-1111.00,29-1111.00,Registered Nurses,Registered Nurses,29-1111,29-1111.00,29-1111.00,Registered Nurses,Registered Nurses,29-1141,29-1111.00 AND 29-1111.01 AND 29-1111.02 AND 29-1111.03,29-1141.00 AND 29-1141.01 AND 29-1141.02 AND 29-1141.03,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses,29-1141,29-1141.00 AND 29-1141.01 AND 29-1141.02 AND 29-1141.03 AND 29-1141.04,29-1141.00 AND 29-1141.01 AND 29-1141.02 AND 29-1141.03 AND 29-1141.04,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses AND Clinical Nurse Specialists,Registered Nurses AND Acute Care Nurses AND Advanced Practice Psychiatric Nurses AND Critical Care Nurses AND Clinical Nurse Specialists
36,11-9121,11-9121,11-9121.00,11-9121.00,Natural Sciences Managers,Natural Sciences Managers,11-9121,11-9121.00,11-9121.00,Natural Sciences Managers,Natural Sciences Managers,11-9121,11-9121.00 AND 11-9121.01 AND 11-9121.02,11-9121.00 AND 11-9121.01 AND 11-9121.02,Natural Sciences Managers AND Clinical Research Coordinators AND Water Resource Specialists,Natural Sciences Managers AND Clinical Research Coordinators AND Water Resource Specialists,11-9121,11-9121.00 AND 11-9121.01 AND 11-9121.02,11-9121.00 AND 11-9121.01 AND 11-9121.02,Natural Sciences Managers AND Clinical Research Coordinators AND Water Resource Specialists,Natural Sciences Managers AND Clinical Research Coordinators AND Water Resource Specialists
37,11-9131,11-9131,11-9131.00,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,11-9131,11-9131.00,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,11-9131,11-9131.00,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,11-9131,11-9131.00,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents
38,11-9141,11-9141,11-9141.00,11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",11-9141,11-9141.00,11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",11-9141,11-9141.00,11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",11-9141,11-9141.00,11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers"
39,11-9151,11-9151,11-9151.00,11-9151.00,Social and Community Service Managers,Social and Community Service Managers,11-9151,11-9151.00,11-9151.00,Social and Community Service Managers,Social and Community Service Managers,11-9151,11-9151.00,11-9151.00,Social and Community Service Managers,Social and Community Service Managers,11-9151,11-9151.00,11-9151.00,Social and Community Service Managers,Social and Community Service Managers
40,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-3013,11-9199.07,11-3013.01,Security Managers,Security Managers
41,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-3031,11-9199.03,11-3031.03,Investment Fund Managers,Investment Fund Managers
42,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-3071,11-9199.04,11-3071.04,Supply Chain Managers,Supply Chain Managers
43,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-9072,11-9199.00,11-9072.00,"Managers, All Other","Entertainment and Recreation Managers, Except Gambling"
44,11-9199,11-9199,11-9199.99,11-9199.99,"Managers, All Other","Managers, All Other",11-9199,11-9199.99,11-9199.00,"Managers, All Other","Managers, All Other",11-9199,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,11-9199.00 AND 11-9199.01 AND 11-9199.02 AND 11-9199.03 AND 11-9199.04 AND 11-9199.07 AND 11-9199.08 AND 11-9199.09 AND 11-9199.10 AND 11-9199.11,"Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers","Managers, All Other AND Regulatory Affairs Managers AND Compliance Managers AND Investment Fund Managers AND Supply Chain Managers AND Security Managers AND Loss Prevention Managers AND Wind Energy Operations Managers AND Wind Energy Project Managers AND Brownfield Redevelopment Specialists and Site Managers",11-9179,11-9199.00,11-9179.00,"Managers, All Other","Personal Service Managers, All Other"
