,O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2006 Code,O*NET-SOC 2006 Title_x,O*NET-SOC 2006 Title_y,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title_x,O*NET-SOC 2009 Title_y,O*NET-SOC 2010 Code,O*NET-SOC 2010 Title
13,11-3031.02,"Financial Managers, Branch or Department",11-3031.02,"Financial Managers, Branch or Department","Financial Managers, Branch or Department",11-3031.02,"Financial Managers, Branch or Department","Financial Managers, Branch or Department",11-3031.02,"Financial Managers, Branch or Department"
14,11-3040.00,Human Resources Managers,11-3040.00,Human Resources Managers,Human Resources Managers,11-3040.00,Human Resources Managers,Human Resources Managers,11-3121.00,Human Resources Managers
15,11-3041.00,Compensation and Benefits Managers,11-3041.00,Compensation and Benefits Managers,Compensation and Benefits Managers,11-3041.00,Compensation and Benefits Managers,Compensation and Benefits Managers,11-3111.00,Compensation and Benefits Managers
16,11-3042.00,Training and Development Managers,11-3042.00,Training and Development Managers,Training and Development Managers,11-3042.00,Training and Development Managers,Training and Development Managers,11-3131.00,Training and Development Managers
17,11-3049.99,"Human Resources Managers, All Other",11-3049.99,"Human Resources Managers, All Other","Human Resources Managers, All Other",11-3049.00,"Human Resources Managers, All Other","Human Resources Managers, All Other",11-3121.00,Human Resources Managers
18,11-3051.00,Industrial Production Managers,11-3051.00,Industrial Production Managers,Industrial Production Managers,11-3051.00,Industrial Production Managers,Industrial Production Managers,11-3051.00,Industrial Production Managers
19,11-3061.00,Purchasing Managers,11-3061.00,Purchasing Managers,Purchasing Managers,11-3061.00,Purchasing Managers,Purchasing Managers,11-3061.00,Purchasing Managers
20,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers"
21,11-3071.01,Transportation Managers,11-3071.01,Transportation Managers,Transportation Managers,11-3071.01,Transportation Managers,Transportation Managers,11-3071.01,Transportation Managers
22,11-3071.02,Storage and Distribution Managers,11-3071.02,Storage and Distribution Managers,Storage and Distribution Managers,11-3071.02,Storage and Distribution Managers,Storage and Distribution Managers,11-3071.02,Storage and Distribution Managers
23,11-9011.00,"Farm, Ranch, and Other Agricultural Managers",11-9011.00,"Farm, Ranch, and Other Agricultural Managers","Farm, Ranch, and Other Agricultural Managers",11-9011.00,"Farm, Ranch, and Other Agricultural Managers","Farm, Ranch, and Other Agricultural Managers",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
24,11-9011.01,Nursery and Greenhouse Managers,11-9011.01,Nursery and Greenhouse Managers,Nursery and Greenhouse Managers,11-9011.01,Nursery and Greenhouse Managers,Nursery and Greenhouse Managers,11-9013.01,Nursery and Greenhouse Managers
25,11-9011.02,Agricultural Crop Farm Managers,11-9011.02,Crop and Livestock Managers,Crop and Livestock Managers,11-9011.02,Crop and Livestock Managers,Crop and Livestock Managers,11-9013.02,Farm and Ranch Managers
26,11-9011.03,Fish Hatchery Managers,11-9011.03,Aquacultural Managers,Aquacultural Managers,11-9011.03,Aquacultural Managers,Aquacultural Managers,11-9013.03,Aquacultural Managers
27,11-9012.00,Farmers and Ranchers,11-9012.00,Farmers and Ranchers,Farmers and Ranchers,11-9012.00,Farmers and Ranchers,Farmers and Ranchers,11-9013.02,Farm and Ranch Managers
28,11-9021.00,Construction Managers,11-9021.00,Construction Managers,Construction Managers,11-9021.00,Construction Managers,Construction Managers,11-9021.00,Construction Managers
29,11-9031.00,"Education Administrators, Preschool and Child Care Center/Program",11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Education Administrators, Preschool and Child Care Center/Program",11-9031.00,"Education Administrators, Preschool and Child Care Center/Program","Education Administrators, Preschool and Child Care Center/Program",11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
30,11-9032.00,"Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Elementary and Secondary School"
31,11-9033.00,"Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary"
32,11-9039.99,"Education Administrators, All Other",11-9039.99,"Education Administrators, All Other","Education Administrators, All Other",11-9039.00,"Education Administrators, All Other","Education Administrators, All Other",11-9039.00,"Education Administrators, All Other"
33,11-9041.00,Engineering Managers,11-9041.00,Engineering Managers,Engineering Managers,11-9041.00,Engineering Managers,Engineering Managers,11-9041.00,Architectural and Engineering Managers
34,11-9051.00,Food Service Managers,11-9051.00,Food Service Managers,Food Service Managers,11-9051.00,Food Service Managers,Food Service Managers,11-9051.00,Food Service Managers
35,11-9061.00,Funeral Directors,11-9061.00,Funeral Directors,Funeral Directors,11-9061.00,Funeral Directors,Funeral Directors,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
36,11-9071.00,Gaming Managers,11-9071.00,Gaming Managers,Gaming Managers,11-9071.00,Gaming Managers,Gaming Managers,11-9071.00,Gaming Managers
37,11-9081.00,Lodging Managers,11-9081.00,Lodging Managers,Lodging Managers,11-9081.00,Lodging Managers,Lodging Managers,11-9081.00,Lodging Managers
38,11-9111.00,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers,Medical and Health Services Managers,11-9111.00,Medical and Health Services Managers
39,11-9121.00,Natural Sciences Managers,11-9121.00,Natural Sciences Managers,Natural Sciences Managers,11-9121.00,Natural Sciences Managers,Natural Sciences Managers,11-9121.00,Natural Sciences Managers
40,11-9131.00,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,11-9131.00,Postmasters and Mail Superintendents
41,11-9141.00,"Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",11-9141.00,"Property, Real Estate, and Community Association Managers"
42,11-9151.00,Social and Community Service Managers,11-9151.00,Social and Community Service Managers,Social and Community Service Managers,11-9151.00,Social and Community Service Managers,Social and Community Service Managers,11-9151.00,Social and Community Service Managers
43,11-9199.99,"Managers, All Other",11-9199.99,"Managers, All Other","Managers, All Other",11-9199.00,"Managers, All Other","Managers, All Other",11-9199.00,"Managers, All Other"
44,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
45,13-1021.00,"Purchasing Agents and Buyers, Farm Products",13-1021.00,"Purchasing Agents and Buyers, Farm Products","Purchasing Agents and Buyers, Farm Products",13-1021.00,"Purchasing Agents and Buyers, Farm Products","Purchasing Agents and Buyers, Farm Products",13-1021.00,"Buyers and Purchasing Agents, Farm Products"
46,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
47,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
48,13-1031.00,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators"
49,13-1031.01,"Claims Examiners, Property and Casualty Insurance",13-1031.01,"Claims Examiners, Property and Casualty Insurance","Claims Examiners, Property and Casualty Insurance",13-1031.01,"Claims Examiners, Property and Casualty Insurance","Claims Examiners, Property and Casualty Insurance",13-1031.01,"Claims Examiners, Property and Casualty Insurance"
50,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators","Insurance Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators","Insurance Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators"
51,13-1032.00,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage"
52,13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041.00,Compliance Officers
53,13-1041.01,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors,Environmental Compliance Inspectors,13-1041.01,Environmental Compliance Inspectors
54,13-1041.02,Licensing Examiners and Inspectors,13-1041.02,Licensing Examiners and Inspectors,Licensing Examiners and Inspectors,13-1041.02,Licensing Examiners and Inspectors,Licensing Examiners and Inspectors,13-1041.02,Licensing Examiners and Inspectors
55,13-1041.03,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers,Equal Opportunity Representatives and Officers,13-1041.03,Equal Opportunity Representatives and Officers
56,13-1041.04,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators,Government Property Inspectors and Investigators,13-1041.04,Government Property Inspectors and Investigators
57,13-1041.05,Pressure Vessel Inspectors,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011.00,Construction and Building Inspectors
58,47-4011.00,Construction and Building Inspectors,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011.00,Construction and Building Inspectors,Construction and Building Inspectors,47-4011.00,Construction and Building Inspectors
59,13-1041.06,Coroners,13-1041.06,Coroners,Coroners,13-1041.06,Coroners,Coroners,13-1041.06,Coroners
60,13-1051.00,Cost Estimators,13-1051.00,Cost Estimators,Cost Estimators,13-1051.00,Cost Estimators,Cost Estimators,13-1051.00,Cost Estimators
61,13-1061.00,Emergency Management Specialists,13-1061.00,Emergency Management Specialists,Emergency Management Specialists,13-1061.00,Emergency Management Specialists,Emergency Management Specialists,11-9161.00,Emergency Management Directors
62,13-1071.00,"Employment, Recruitment, and Placement Specialists",13-1071.00,"Employment, Recruitment, and Placement Specialists","Employment, Recruitment, and Placement Specialists",13-1071.00,"Employment, Recruitment, and Placement Specialists","Employment, Recruitment, and Placement Specialists",13-1071.00,Human Resources Specialists
63,13-1071.01,"Employment Interviewers, Private or Public Employment Service",13-1071.01,Employment Interviewers,Employment Interviewers,13-1071.01,Employment Interviewers,Employment Interviewers,13-1071.00,Human Resources Specialists
64,13-1071.02,Personnel Recruiters,13-1071.02,Personnel Recruiters,Personnel Recruiters,13-1071.02,Personnel Recruiters,Personnel Recruiters,13-1071.00,Human Resources Specialists
65,13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",13-1072.00,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",13-1072.00,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
66,13-1073.00,Training and Development Specialists,13-1073.00,Training and Development Specialists,Training and Development Specialists,13-1073.00,Training and Development Specialists,Training and Development Specialists,13-1151.00,Training and Development Specialists
67,13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other","Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.00,"Human Resources, Training, and Labor Relations Specialists, All Other","Human Resources, Training, and Labor Relations Specialists, All Other",13-1071.00,Human Resources Specialists
68,13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.99,"Human Resources, Training, and Labor Relations Specialists, All Other","Human Resources, Training, and Labor Relations Specialists, All Other",13-1079.00,"Human Resources, Training, and Labor Relations Specialists, All Other","Human Resources, Training, and Labor Relations Specialists, All Other",13-1075.00,Labor Relations Specialists
69,13-1081.00,Logisticians,13-1081.00,Logisticians,Logisticians,13-1081.00,Logisticians,Logisticians,13-1081.00,Logisticians
70,13-1111.00,Management Analysts,13-1111.00,Management Analysts,Management Analysts,13-1111.00,Management Analysts,Management Analysts,13-1111.00,Management Analysts
71,13-1121.00,Meeting and Convention Planners,13-1121.00,Meeting and Convention Planners,Meeting and Convention Planners,13-1121.00,Meeting and Convention Planners,Meeting and Convention Planners,13-1121.00,"Meeting, Convention, and Event Planners"
72,13-1199.99,"Business Operations Specialists, All Other",13-1199.99,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other"
73,13-2011.00,Accountants and Auditors,13-2011.00,Accountants and Auditors,Accountants and Auditors,13-2011.00,Accountants and Auditors,Accountants and Auditors,13-2011.00,Accountants and Auditors
74,13-2011.01,Accountants,13-2011.01,Accountants,Accountants,13-2011.01,Accountants,Accountants,13-2011.01,Accountants
75,13-2011.02,Auditors,13-2011.02,Auditors,Auditors,13-2011.02,Auditors,Auditors,13-2011.02,Auditors
76,13-2021.00,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate
77,13-2021.01,Assessors,13-2021.01,Assessors,Assessors,13-2021.01,Assessors,Assessors,13-2021.01,Assessors
78,13-2021.02,"Appraisers, Real Estate",13-2021.02,"Appraisers, Real Estate","Appraisers, Real Estate",13-2021.02,"Appraisers, Real Estate","Appraisers, Real Estate",13-2021.02,"Appraisers, Real Estate"
79,13-2031.00,Budget Analysts,13-2031.00,Budget Analysts,Budget Analysts,13-2031.00,Budget Analysts,Budget Analysts,13-2031.00,Budget Analysts
80,13-2041.00,Credit Analysts,13-2041.00,Credit Analysts,Credit Analysts,13-2041.00,Credit Analysts,Credit Analysts,13-2041.00,Credit Analysts
81,13-2051.00,Financial Analysts,13-2051.00,Financial Analysts,Financial Analysts,13-2051.00,Financial Analysts,Financial Analysts,13-2051.00,Financial Analysts
82,13-2052.00,Personal Financial Advisors,13-2052.00,Personal Financial Advisors,Personal Financial Advisors,13-2052.00,Personal Financial Advisors,Personal Financial Advisors,13-2052.00,Personal Financial Advisors
83,13-2053.00,Insurance Underwriters,13-2053.00,Insurance Underwriters,Insurance Underwriters,13-2053.00,Insurance Underwriters,Insurance Underwriters,13-2053.00,Insurance Underwriters
84,13-2061.00,Financial Examiners,13-2061.00,Financial Examiners,Financial Examiners,13-2061.00,Financial Examiners,Financial Examiners,13-2061.00,Financial Examiners
85,13-2071.00,Loan Counselors,13-2071.00,Loan Counselors,Loan Counselors,13-2071.00,Loan Counselors,Loan Counselors,13-2071.01,Loan Counselors
86,13-2072.00,Loan Officers,13-2072.00,Loan Officers,Loan Officers,13-2072.00,Loan Officers,Loan Officers,13-2072.00,Loan Officers
87,13-2081.00,"Tax Examiners, Collectors, and Revenue Agents",13-2081.00,"Tax Examiners, Collectors, and Revenue Agents","Tax Examiners, Collectors, and Revenue Agents",13-2081.00,"Tax Examiners, Collectors, and Revenue Agents","Tax Examiners, Collectors, and Revenue Agents",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
88,13-2082.00,Tax Preparers,13-2082.00,Tax Preparers,Tax Preparers,13-2082.00,Tax Preparers,Tax Preparers,13-2082.00,Tax Preparers
89,13-2099.99,"Financial Specialists, All Other",13-2099.99,"Financial Specialists, All Other","Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other","Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other"
90,15-1011.00,"Computer and Information Scientists, Research",15-1011.00,"Computer and Information Scientists, Research","Computer and Information Scientists, Research",15-1011.00,"Computer and Information Scientists, Research","Computer and Information Scientists, Research",15-1111.00,Computer and Information Research Scientists
91,15-1021.00,Computer Programmers,15-1021.00,Computer Programmers,Computer Programmers,15-1021.00,Computer Programmers,Computer Programmers,15-1131.00,Computer Programmers
92,15-1031.00,"Computer Software Engineers, Applications",15-1031.00,"Computer Software Engineers, Applications","Computer Software Engineers, Applications",15-1031.00,"Computer Software Engineers, Applications","Computer Software Engineers, Applications",15-1132.00,"Software Developers, Applications"
93,15-1032.00,"Computer Software Engineers, Systems Software",15-1032.00,"Computer Software Engineers, Systems Software","Computer Software Engineers, Systems Software",15-1032.00,"Computer Software Engineers, Systems Software","Computer Software Engineers, Systems Software",15-1133.00,"Software Developers, Systems Software"
94,15-1041.00,Computer Support Specialists,15-1041.00,Computer Support Specialists,Computer Support Specialists,15-1041.00,Computer Support Specialists,Computer Support Specialists,15-1151.00,Computer User Support Specialists
95,15-1051.00,Computer Systems Analysts,15-1051.00,Computer Systems Analysts,Computer Systems Analysts,15-1051.00,Computer Systems Analysts,Computer Systems Analysts,15-1121.00,Computer Systems Analysts
96,15-1061.00,Database Administrators,15-1061.00,Database Administrators,Database Administrators,15-1061.00,Database Administrators,Database Administrators,15-1141.00,Database Administrators
97,15-1071.00,Network and Computer Systems Administrators,15-1071.00,Network and Computer Systems Administrators,Network and Computer Systems Administrators,15-1071.00,Network and Computer Systems Administrators,Network and Computer Systems Administrators,15-1142.00,Network and Computer Systems Administrators
98,15-1071.01,Computer Security Specialists,15-1071.01,Computer Security Specialists,Computer Security Specialists,15-1071.01,Computer Security Specialists,Computer Security Specialists,15-1122.00,Information Security Analysts
99,15-1081.00,Network Systems and Data Communications Analysts,15-1081.00,Network Systems and Data Communications Analysts,Network Systems and Data Communications Analysts,15-1081.00,Network Systems and Data Communications Analysts,Network Systems and Data Communications Analysts,15-1143.00,Computer Network Architects
100,15-1081.00,Network Systems and Data Communications Analysts,15-1081.00,Network Systems and Data Communications Analysts,Network Systems and Data Communications Analysts,15-1081.00,Network Systems and Data Communications Analysts,Network Systems and Data Communications Analysts,15-1152.00,Computer Network Support Specialists
101,15-1099.99,"Computer Specialists, All Other",15-1099.99,"Computer Specialists, All Other","Computer Specialists, All Other",15-1099.00,"Computer Specialists, All Other","Computer Specialists, All Other",15-1199.00,"Computer Occupations, All Other"
102,15-2011.00,Actuaries,15-2011.00,Actuaries,Actuaries,15-2011.00,Actuaries,Actuaries,15-2011.00,Actuaries
103,15-2021.00,Mathematicians,15-2021.00,Mathematicians,Mathematicians,15-2021.00,Mathematicians,Mathematicians,15-2021.00,Mathematicians
104,15-2031.00,Operations Research Analysts,15-2031.00,Operations Research Analysts,Operations Research Analysts,15-2031.00,Operations Research Analysts,Operations Research Analysts,15-2031.00,Operations Research Analysts
105,15-2041.00,Statisticians,15-2041.00,Statisticians,Statisticians,15-2041.00,Statisticians,Statisticians,15-2041.00,Statisticians
106,15-2091.00,Mathematical Technicians,15-2091.00,Mathematical Technicians,Mathematical Technicians,15-2091.00,Mathematical Technicians,Mathematical Technicians,15-2091.00,Mathematical Technicians
107,15-2099.99,"Mathematical Science Occupations, All Other",15-2099.99,"Mathematical Science Occupations, All Other","Mathematical Science Occupations, All Other",15-2099.00,"Mathematical Science Occupations, All Other","Mathematical Science Occupations, All Other",15-2099.00,"Mathematical Science Occupations, All Other"
108,17-1011.00,"Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",17-1011.00,"Architects, Except Landscape and Naval"
109,17-1012.00,Landscape Architects,17-1012.00,Landscape Architects,Landscape Architects,17-1012.00,Landscape Architects,Landscape Architects,17-1012.00,Landscape Architects
110,17-1021.00,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists,17-1021.00,Cartographers and Photogrammetrists
111,17-1022.00,Surveyors,17-1022.00,Surveyors,Surveyors,17-1022.00,Surveyors,Surveyors,17-1022.00,Surveyors
112,17-2011.00,Aerospace Engineers,17-2011.00,Aerospace Engineers,Aerospace Engineers,17-2011.00,Aerospace Engineers,Aerospace Engineers,17-2011.00,Aerospace Engineers
113,17-2021.00,Agricultural Engineers,17-2021.00,Agricultural Engineers,Agricultural Engineers,17-2021.00,Agricultural Engineers,Agricultural Engineers,17-2021.00,Agricultural Engineers
114,17-2031.00,Biomedical Engineers,17-2031.00,Biomedical Engineers,Biomedical Engineers,17-2031.00,Biomedical Engineers,Biomedical Engineers,17-2031.00,Biomedical Engineers
115,17-2041.00,Chemical Engineers,17-2041.00,Chemical Engineers,Chemical Engineers,17-2041.00,Chemical Engineers,Chemical Engineers,17-2041.00,Chemical Engineers
116,17-2051.00,Civil Engineers,17-2051.00,Civil Engineers,Civil Engineers,17-2051.00,Civil Engineers,Civil Engineers,17-2051.00,Civil Engineers
117,17-2061.00,Computer Hardware Engineers,17-2061.00,Computer Hardware Engineers,Computer Hardware Engineers,17-2061.00,Computer Hardware Engineers,Computer Hardware Engineers,17-2061.00,Computer Hardware Engineers
118,17-2071.00,Electrical Engineers,17-2071.00,Electrical Engineers,Electrical Engineers,17-2071.00,Electrical Engineers,Electrical Engineers,17-2071.00,Electrical Engineers
119,17-2072.00,"Electronics Engineers, Except Computer",17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",17-2072.00,"Electronics Engineers, Except Computer"
120,17-2081.00,Environmental Engineers,17-2081.00,Environmental Engineers,Environmental Engineers,17-2081.00,Environmental Engineers,Environmental Engineers,17-2081.00,Environmental Engineers
121,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
122,17-2111.01,Industrial Safety and Health Engineers,17-2111.01,Industrial Safety and Health Engineers,Industrial Safety and Health Engineers,17-2111.01,Industrial Safety and Health Engineers,Industrial Safety and Health Engineers,17-2111.01,Industrial Safety and Health Engineers
123,17-2111.02,Fire-Prevention and Protection Engineers,17-2111.02,Fire-Prevention and Protection Engineers,Fire-Prevention and Protection Engineers,17-2111.02,Fire-Prevention and Protection Engineers,Fire-Prevention and Protection Engineers,17-2111.02,Fire-Prevention and Protection Engineers
124,17-2111.03,Product Safety Engineers,17-2111.03,Product Safety Engineers,Product Safety Engineers,17-2111.03,Product Safety Engineers,Product Safety Engineers,17-2111.03,Product Safety Engineers
125,17-2112.00,Industrial Engineers,17-2112.00,Industrial Engineers,Industrial Engineers,17-2112.00,Industrial Engineers,Industrial Engineers,17-2112.00,Industrial Engineers
126,17-2121.00,Marine Engineers and Naval Architects,17-2121.00,Marine Engineers and Naval Architects,Marine Engineers and Naval Architects,17-2121.00,Marine Engineers and Naval Architects,Marine Engineers and Naval Architects,17-2121.00,Marine Engineers and Naval Architects
127,17-2121.01,Marine Engineers,17-2121.01,Marine Engineers,Marine Engineers,17-2121.01,Marine Engineers,Marine Engineers,17-2121.01,Marine Engineers
128,17-2121.02,Marine Architects,17-2121.02,Marine Architects,Marine Architects,17-2121.02,Marine Architects,Marine Architects,17-2121.02,Marine Architects
129,17-2131.00,Materials Engineers,17-2131.00,Materials Engineers,Materials Engineers,17-2131.00,Materials Engineers,Materials Engineers,17-2131.00,Materials Engineers
130,17-2141.00,Mechanical Engineers,17-2141.00,Mechanical Engineers,Mechanical Engineers,17-2141.00,Mechanical Engineers,Mechanical Engineers,17-2141.00,Mechanical Engineers
