onetsoc_code_8dig,onetsoc_title,onetsoc_desc,year,onetsoc_code,socAB
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of companies or public and private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Includes owners and managers who head small business establishments whose duties are primarily managerial.",2009,11-1021,1
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",2010,11-1021,1
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",2019,11-1021,1
11-1031.00,Legislators,"Develop laws and statutes at the Federal, State, or local level.",2000,11-1031,2
11-1031.00,Legislators,"Develop laws and statutes at the Federal, State, or local level.",2006,11-1031,2
11-1031.00,Legislators,"Develop laws and statutes at the Federal, State, or local level.",2009,11-1031,2
11-1031.00,Legislators,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions.",2010,11-1031,2
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",2019,11-1031,2
11-2011.00,Advertising and Promotions Managers,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",2000,11-2011,3
11-2011.00,Advertising and Promotions Managers,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",2006,11-2011,3
11-2011.00,Advertising and Promotions Managers,"Plan and direct advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",2009,11-2011,3
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",2010,11-2011,3
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",2019,11-2011,3
11-2011.01,Green Marketers,Create and implement methods to market green products and services.,2009,11-2011,3
11-2011.01,Green Marketers,Create and implement methods to market green products and services.,2010,11-2011,3
11-2021.00,Marketing Managers,Determine the demand for products and services offered by a firm and its competitors and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.,2000,11-2021,4
11-2021.00,Marketing Managers,Determine the demand for products and services offered by a firm and its competitors and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.,2006,11-2021,4
11-2021.00,Marketing Managers,Determine the demand for products and services offered by a firm and its competitors and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.,2009,11-2021,4
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",2010,11-2021,4
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",2019,11-2021,4
11-2022.00,Sales Managers,"Direct the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",2000,11-2022,5
11-2022.00,Sales Managers,"Direct the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",2006,11-2022,5
11-2022.00,Sales Managers,"Direct the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",2009,11-2022,5
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",2010,11-2022,5
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",2019,11-2022,5
11-2031.00,Public Relations Managers,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations.",2000,11-2031,6
11-2031.00,Public Relations Managers,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations.",2006,11-2031,6
11-2031.00,Public Relations Managers,"Plan and direct public relations programs designed to create and maintain a favorable public image for employer or client; or if engaged in fundraising, plan and direct activities to solicit and maintain funds for special projects and nonprofit organizations.",2009,11-2031,6
11-2031.00,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",2010,11-2031,6
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",2019,11-2032,6
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",2019,11-2033,6
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations.",2000,11-3011,7
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations.",2006,11-3011,7
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate supportive services of an organization, such as recordkeeping, mail distribution, telephone operator/receptionist, and other office support services. May oversee facilities planning and maintenance and custodial operations.",2009,11-3011,7
11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",2010,11-3011,7
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",2019,11-3012,7
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",2019,11-3013,7
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",2019,11-3013,7
11-3031.00,Financial Managers,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",2000,11-3031,7
11-3031.00,Financial Managers,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",2006,11-3031,7
11-3031.00,Financial Managers,"Plan, direct, and coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",2009,11-3031,7
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",2010,11-3031,7
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",2019,11-3031,7
11-3031.01,"Treasurers, Controllers, and Chief Financial Officers","Plan, direct, and coordinate the financial activities of an organization at the highest level of management. Includes financial reserve officers.",2000,11-3031,7
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",2006,11-3031,7
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",2009,11-3031,7
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",2010,11-3031,7
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",2019,11-3031,7
11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",2000,11-3031,7
11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",2006,11-3031,7
11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",2009,11-3031,7
11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",2010,11-3031,7
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",2019,11-3031,7
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",2000,11-3071,7
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",2006,11-3071,7
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with governmental policies and regulations.",2009,11-3071,7
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",2010,11-3071,7
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",2019,11-3071,7
11-3071.01,Transportation Managers,"Plan, direct, and coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",2000,11-3071,7
11-3071.01,Transportation Managers,"Plan, direct, and coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",2006,11-3071,7
11-3071.01,Transportation Managers,"Plan, direct, and coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",2009,11-3071,7
11-3071.01,Transportation Managers,"Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",2010,11-3071,7
11-3071.02,Storage and Distribution Managers,"Plan, direct, and coordinate the storage and distribution operations within an organization or the activities of organizations that are engaged in storing and distributing materials and products.",2000,11-3071,7
11-3071.02,Storage and Distribution Managers,"Plan, direct, and coordinate the storage and distribution operations within an organization or the activities of organizations that are engaged in storing and distributing materials and products.",2006,11-3071,7
11-3071.02,Storage and Distribution Managers,"Plan, direct, and coordinate the storage and distribution operations within an organization or the activities of organizations that are engaged in storing and distributing materials and products.",2009,11-3071,7
11-3071.02,Storage and Distribution Managers,"Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products.",2010,11-3071,7
11-3071.03,Logistics Managers,"Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations.",2010,11-3071,7
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",2019,11-3071,7
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,2009,11-9039,7
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,2010,11-9039,7
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,2019,11-9039,7
11-9039.01,Distance Learning Coordinators,Coordinate day-to-day operations of distance learning programs and schedule courses.,2009,11-9039,7
11-9039.01,Distance Learning Coordinators,Coordinate day-to-day operations of distance learning programs and schedule courses.,2010,11-9039,7
11-9039.02,Fitness and Wellness Coordinators,"Manage fitness and wellness programs and services. Direct and train staff of health educators, fitness instructors, or recreation workers.",2009,11-9039,7
11-9039.02,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",2010,11-9039,7
11-9039.99,"Education Administrators, All Other",All education administrators not listed separately.,2000,11-9039,7
11-9039.99,"Education Administrators, All Other",All education administrators not listed separately.,2006,11-9039,7
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",2019,11-9072,7
11-9179.00,"Personal Service Managers, All Other",All personal service managers not listed separately.,2019,11-9179,7
11-9179.01,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",2019,11-9179,7
11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",2019,11-9179,7
11-9199.00,"Managers, All Other",All managers not listed separately.,2009,11-9199,7
11-9199.00,"Managers, All Other",All managers not listed separately.,2010,11-9199,7
11-9199.00,"Managers, All Other",All managers not listed separately.,2019,11-9199,7
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",2009,11-9199,7
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",2010,11-9199,7
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",2019,11-9199,7
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",2009,11-9199,7
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",2010,11-9199,7
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",2019,11-9199,7
11-9199.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",2009,11-9199,7
11-9199.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",2010,11-9199,7
11-9199.04,Supply Chain Managers,"Direct, or coordinate production, purchasing, warehousing, distribution, or financial forecasting services and activities to limit costs and improve accuracy, customer service and safety. Examine existing procedures and opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, and processing of inventory.",2009,11-9199,7
11-9199.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",2010,11-9199,7
11-9199.05,Online Merchants,"Plan, direct, or coordinate retail activities of businesses operating online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",2009,11-9199,7
11-9199.06,Logistics Managers,"Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations.",2009,11-9199,7
11-9199.07,Security Managers,"Direct an organization's security functions, including physical security and safety of employees, facilities, and assets.",2009,11-9199,7
11-9199.07,Security Managers,"Direct an organization's security functions, including physical security and safety of employees, facilities, and assets.",2010,11-9199,7
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",2009,11-9199,7
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",2010,11-9199,7
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",2019,11-9199,7
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",2009,11-9199,7
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",2010,11-9199,7
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",2019,11-9199,7
11-9199.10,Wind Energy Project Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",2009,11-9199,7
11-9199.10,Wind Energy Project Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",2010,11-9199,7
11-9199.10,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",2019,11-9199,7
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Participate in planning and directing cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,2009,11-9199,7
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,2010,11-9199,7
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,2019,11-9199,7
11-9199.99,"Managers, All Other",All managers not listed separately.,2000,11-9199,7
11-9199.99,"Managers, All Other",All managers not listed separately.,2006,11-9199,7
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and other compliance and enforcement inspection activities not classified elsewhere.",2000,13-1041,7
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and other compliance and enforcement inspection activities not classified elsewhere.",2006,13-1041,7
13-1041.00,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and other compliance and enforcement inspection activities not classified elsewhere.",2009,13-1041,7
13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",2010,13-1041,7
13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",2019,13-1041,7
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",2000,13-1041,7
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",2006,13-1041,7
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",2009,13-1041,7
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",2010,13-1041,7
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",2019,13-1041,7
13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits.",2000,13-1041,7
13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits.",2006,13-1041,7
13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits.",2009,13-1041,7
13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits.",2010,13-1041,7
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",2000,13-1041,7
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",2006,13-1041,7
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",2009,13-1041,7
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",2010,13-1041,7
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",2019,13-1041,7
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,2000,13-1041,7
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,2006,13-1041,7
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,2009,13-1041,7
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,2010,13-1041,7
13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,2019,13-1041,7
13-1041.05,Pressure Vessel Inspectors,"Inspect pressure vessel equipment for conformance with safety laws and standards regulating their design, fabrication, installation, repair, and operation.",2000,13-1041,7
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",2000,13-1041,7
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",2006,13-1041,7
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",2009,13-1041,7
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",2010,13-1041,7
13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",2019,13-1041,7
13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals or registrations. May compile and prepare materials for submission to regulatory agencies.",2009,13-1041,7
13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",2010,13-1041,7
13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",2019,13-1041,7
13-1041.08,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,2019,13-1041,7
13-1082.00,Project Management Specialists,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",2019,13-1082,7
