occ1990dd,occ1990dd_titles
799,"Production Checkers, Graders, and Sorters In"
803,Supervisors Of Motor Vehicle Transportation
804,"Truck, Delivery, and Tractor Drivers"
808,Bus Drivers
809,Taxi Cab Drivers and Chauffeurs
813,Parking Lot Attendants
823,Railroad Conductors and Yardmasters
824,Locomotive Operators: Engineers and Firemen
825,"Railroad Brake, Coupler, and Switch Operators"
829,Ship Crews and Marine Engineers
834,Miscellaneous Transportation Occupations
844,Operating Engineers Of Construction Equipment
848,"Crane, Derrick, Winch, Hoist, Longshore Operators"
853,Excavating and Loading Machine Operators
859,Stevedores and Misc. Material Moving Occupations
865,"Helpers, Constructions"
866,"Helpers, Surveyors"
869,Construction Laborers
873,Production Helpers
874,Production Helpers
875,Garbage and Recyclable Material Collectors
878,Machine Feeders and Offbearers
885,Garage and Service Station Related Occupations
887,Vehicle Washers and Equipment Cleaners
888,Packers and Packagers By Hand
889,"Laborers, Freight, Stock, and Material Handlers, n.e.c."
905,Veterans
991,Unemployed
999,Not An Occ
